,vocab,counts
4357,strategic,4
4358,stretch,4
4359,stupid,4
4360,suddenly,4
4361,summer,4
4362,summit,4
4363,sun,4
4364,swore,4
4365,syrian,4
4366,teammate,4
4367,teenager,4
4368,terribly,4
4369,them,4
4370,thin,4
4371,threeyearold,4
4372,tighter,4
4373,tone,4
4374,too,4
4375,transfer,4
4376,transportation,4
4377,trash,4
4378,traumatize,4
4379,ultimate,4
4380,unaffordable,4
4381,unchecked,4
4382,uncle,4
4383,underground,4
4384,understood,4
4385,unique,4
4386,unpopular,4
4387,unusual,4
4388,up,4
4389,upcoming,4
4390,uranium,4
4391,usher,4
4392,usually,4
4393,vacation,4
4394,various,4
4395,vicious,4
4396,virus,4
4397,watergate,4
4398,wave,4
4399,weaker,4
4400,western,4
4401,whenever,4
4402,wrap,4
4403,writes,4
4404,xenophobia,4
4405,yale,4
4406,younger,4
4407,absolute,5
4408,acquittal,5
4409,activism,5
4410,adequate,5
4411,advertising,5
4412,afghan,5
4413,africanamericans,5
4414,allege,5
4415,apartment,5
4416,app,5
4417,april,5
4418,arizona,5
4419,article,5
4420,ashamed,5
4421,aspiration,5
4422,assad,5
4423,atlanta,5
4424,author,5
4425,automate,5
4426,awful,5
4427,basement,5
4428,bay,5
4429,belief,5
4430,bet,5
4431,bias,5
4432,bigotry,5
4433,blow,5
4434,bus,5
4435,candidacy,5
4436,carter,5
4437,cave,5
4438,cetera,5
4439,challenged,5
4440,changer,5
4441,character,5
4442,chew,5
4443,chris,5
4444,coast,5
4445,coffee,5
4446,collar,5
4447,colonel,5
4448,compassion,5
4449,conclude,5
4450,confess,5
4451,consent,5
4452,consequential,5
4453,conservation,5
4454,consistently,5
4455,constituent,5
4456,continued,5
4457,courageous,5
4458,cuomo,5
4459,customer,5
4460,cybersecurity,5
4461,daddy,5
4462,dayton,5
4463,definition,5
4464,demonstrate,5
4465,deployment,5
4466,destiny,5
4467,destroyed,5
4468,detain,5
4469,dick,5
4470,dime,5
4471,diminish,5
4472,disagreement,5
4473,discipline,5
4474,distance,5
4475,distinction,5
4476,distract,5
4477,disturb,5
4478,divisiveness,5
4479,doctrine,5
4480,doubt,5
